,ID,age_band,gender,car_model,car_segment,age_of_vehicle_years,sched_serv_warr,non_sched_serv_warr,sched_serv_paid,non_sched_serv_paid,total_paid_services,total_services,mth_since_last_serv,annualised_mileage,num_dealers_visited,num_serv_dealer_purchased
74487,87442,1.0,1,6.0,0,6,10,5,10,10,10,9,3,10,9,5
74491,87446,3.0,0,1.0,3,8,9,7,10,8,9,8,7,6,5,9
74494,87449,6.0,1,6.0,0,1,1,1,2,2,2,1,2,1,1,1
74495,87452,2.0,1,0.0,0,8,9,6,9,5,7,8,5,9,10,8
74499,87457,4.0,1,0.0,0,6,3,4,2,10,9,3,9,2,6,5
74503,87461,5.0,0,5.0,3,7,8,2,7,3,4,6,9,6,4,7
74508,87467,2.0,1,4.0,3,6,9,8,8,7,7,9,3,9,9,8
74515,87475,4.0,0,1.0,3,7,5,7,7,9,9,6,8,3,6,8
74516,87477,2.0,1,7.0,1,10,8,10,9,10,10,10,8,7,4,10
74520,87481,3.0,0,1.0,3,5,5,9,6,10,10,8,3,10,4,9
74522,87483,6.0,0,1.0,3,10,5,2,6,1,3,2,10,3,6,4
74523,87485,4.0,1,1.0,3,9,7,5,10,6,8,5,10,7,5,3
74531,87495,3.0,0,1.0,3,8,8,5,9,8,9,6,7,7,9,7
74535,87501,3.0,0,0.0,0,5,9,9,7,10,10,9,6,7,9,8
74537,87503,2.0,0,15.0,0,7,9,5,10,5,9,7,8,10,10,5
74541,87507,1.0,0,1.0,3,5,3,6,3,4,3,4,9,5,6,2
74544,87511,4.0,1,0.0,0,10,9,10,8,10,10,10,8,9,2,2
74546,87513,3.0,1,1.0,3,5,4,3,10,5,9,3,9,3,8,5
74568,87538,5.0,0,1.0,3,6,10,8,9,8,8,10,6,9,9,8
74575,87547,3.0,1,5.0,3,7,8,10,9,7,8,10,3,7,9,10
74577,87550,2.0,0,1.0,3,7,7,8,10,9,10,8,5,9,10,6
74581,87554,1.0,0,3.0,1,6,3,9,4,6,5,8,5,8,9,4
74595,87575,2.0,1,7.0,1,8,10,3,9,3,7,8,8,9,9,4
74597,87578,1.0,1,1.0,3,9,8,6,9,9,9,8,9,8,10,8
74601,87583,4.0,0,1.0,3,8,6,9,8,7,7,8,8,5,9,9
74628,87612,4.0,1,5.0,3,5,9,6,10,10,10,8,3,5,5,9
74629,87613,4.0,0,1.0,3,7,7,6,8,6,7,6,3,9,10,4
74668,87660,4.0,1,1.0,3,3,10,1,10,1,7,7,3,10,8,9
74669,87661,3.0,1,7.0,1,7,6,2,6,1,3,4,10,4,6,1
74673,87666,2.0,1,3.0,1,5,6,6,4,10,10,5,8,4,10,4
74687,87683,3.0,0,3.0,1,9,7,10,8,9,9,9,10,6,7,10
74689,87685,1.0,1,4.0,3,8,4,5,4,7,6,4,10,4,9,5
74694,87690,3.0,0,1.0,3,6,5,5,7,7,6,4,9,5,6,6
74695,87691,5.0,0,5.0,3,7,10,10,9,8,8,10,6,6,6,10
74708,87706,1.0,0,3.0,1,6,6,6,8,4,5,7,6,8,5,2
74716,87714,2.0,1,7.0,1,7,8,7,9,9,9,7,7,8,9,6
74717,87715,4.0,0,3.0,1,9,8,5,9,3,7,6,4,8,3,8
74719,87717,3.0,0,5.0,3,2,1,1,2,2,2,1,1,1,1,1
74721,87719,4.0,0,5.0,3,6,9,4,6,3,4,6,6,8,5,8
74723,87721,3.0,0,3.0,1,7,10,10,10,10,10,10,6,10,3,10
74725,87723,3.0,0,5.0,3,4,8,6,7,3,5,8,5,4,5,8
74742,87740,3.0,0,1.0,3,6,1,9,2,5,3,5,8,5,7,7
74745,87744,5.0,1,1.0,3,10,8,10,8,10,10,10,3,9,4,10
74753,87754,5.0,0,0.0,0,6,10,9,9,10,10,10,3,6,10,6
74757,87758,1.0,1,6.0,0,10,8,5,10,10,10,6,10,7,8,7
74772,87774,4.0,1,0.0,0,9,6,10,6,9,8,9,3,9,9,9
74774,87777,1.0,0,4.0,3,9,4,7,4,5,3,5,9,7,7,6
74795,87802,3.0,1,3.0,1,6,8,9,7,10,10,9,3,9,7,10
74806,87815,1.0,1,0.0,0,5,9,10,7,10,10,9,5,9,8,7
74809,87819,2.0,0,1.0,3,10,8,6,10,6,8,7,8,9,9,7
74825,87838,2.0,0,4.0,3,8,5,8,8,7,7,6,2,7,10,6
74827,87841,3.0,0,1.0,3,7,4,10,4,10,9,10,3,9,4,10
74830,87844,1.0,0,1.0,3,6,9,1,5,2,3,5,8,5,6,7
74836,87851,1.0,1,1.0,3,8,9,9,10,8,9,9,5,7,4,10
74842,87858,5.0,0,2.0,1,8,7,3,8,8,7,5,8,4,7,7
74854,87871,2.0,0,4.0,3,5,9,6,4,4,3,8,7,9,5,9
74873,87891,4.0,1,0.0,0,10,9,9,10,10,10,9,9,9,10,5
74885,87908,4.0,0,5.0,3,10,7,10,8,7,7,9,9,7,8,10
74891,87914,2.0,0,3.0,1,7,9,6,9,8,8,8,3,7,6,8
74893,87917,1.0,1,2.0,1,8,5,9,7,7,6,8,8,9,9,6
74894,87918,2.0,1,0.0,0,5,8,6,10,9,10,7,7,9,7,9
74895,87919,6.0,0,5.0,3,10,6,8,6,3,4,6,10,5,6,8
74902,87927,1.0,1,3.0,1,6,3,10,4,9,7,10,3,10,9,10
74908,87933,2.0,1,3.0,1,7,5,7,3,4,3,4,9,7,10,5
74915,87942,3.0,0,1.0,3,9,4,9,9,8,9,7,9,8,10,7
74917,87945,4.0,1,0.0,0,6,9,9,8,9,9,10,6,7,4,10
74919,87947,2.0,1,0.0,0,9,10,10,10,10,10,10,8,10,9,5
74926,87954,0.0,1,6.0,0,7,5,8,3,4,2,5,7,8,10,5
74947,87975,1.0,1,3.0,1,6,8,10,10,10,10,10,3,10,3,10
74949,87978,3.0,1,0.0,0,9,6,8,7,6,5,6,9,6,5,4
74952,87982,4.0,0,2.0,1,10,1,6,2,6,4,4,8,9,2,2
74954,87985,3.0,1,7.0,1,10,8,2,7,2,4,4,9,6,7,6
74965,87999,2.0,1,2.0,1,8,6,8,7,9,8,7,6,7,9,8
74969,88004,2.0,1,6.0,0,6,10,8,10,10,10,9,4,9,4,5
74973,88008,2.0,1,2.0,1,9,5,6,7,8,8,5,9,7,10,5
74976,88011,1.0,0,3.0,1,5,2,4,1,8,6,2,9,3,4,4
74991,88027,4.0,1,3.0,1,8,3,10,4,10,10,9,10,4,6,2
75001,88041,3.0,1,2.0,1,7,10,8,8,5,6,10,4,5,7,10
75019,88063,3.0,1,1.0,3,6,10,3,6,5,5,8,4,5,10,6
75020,88064,2.0,1,1.0,3,10,3,7,4,10,10,6,8,8,6,6
75031,88076,4.0,1,1.0,3,9,6,7,8,6,6,6,9,4,5,7
75038,88084,4.0,0,5.0,3,10,1,1,1,2,2,1,2,1,1,3
75047,88096,3.0,0,6.0,0,6,2,7,1,8,7,4,7,6,10,4
75051,88100,0.0,0,1.0,3,5,7,4,5,3,3,5,5,8,6,7
75053,88104,6.0,0,1.0,3,8,7,2,5,3,3,4,8,4,5,6
75055,88107,3.0,1,3.0,1,7,3,1,3,3,2,3,8,5,5,4
75059,88111,6.0,0,2.0,1,9,5,5,4,3,3,4,10,5,7,6
75062,88114,5.0,1,1.0,3,7,10,9,10,8,10,10,6,7,6,10
75065,88117,4.0,1,3.0,1,8,2,10,1,9,8,9,8,10,9,9
75074,88127,1.0,0,1.0,3,6,6,8,8,6,7,8,3,10,10,7
75080,88135,1.0,0,5.0,3,10,9,4,9,5,7,6,7,8,9,2
75089,88146,0.0,1,6.0,0,7,7,10,7,9,9,9,8,7,5,10
75101,88159,1.0,1,2.0,1,7,6,10,9,9,9,10,4,9,10,7
75115,88175,3.0,1,7.0,1,1,1,1,2,1,2,1,2,1,1,1
75124,88190,3.0,0,0.0,0,8,7,3,9,1,7,4,7,10,4,7
75141,88208,4.0,0,2.0,1,8,5,6,6,5,5,5,10,5,6,7
75156,88229,2.0,1,6.0,0,7,4,4,3,3,2,3,9,4,6,6
75159,88232,2.0,0,6.0,0,8,4,9,6,10,10,7,10,3,4,8
75163,88237,0.0,1,0.0,0,10,9,9,8,7,7,9,9,9,6,10
75165,88239,3.0,0,5.0,3,8,5,2,4,2,2,3,10,3,4,4
75168,88242,3.0,0,1.0,3,7,5,2,6,2,4,3,10,6,6,5
75176,88250,3.0,1,3.0,1,9,9,8,8,9,9,9,2,7,5,10
75195,88272,3.0,1,3.0,1,8,6,7,7,9,8,5,8,5,4,7
75204,88281,0.0,1,5.0,3,5,6,6,8,5,6,6,8,7,6,8
75206,88284,0.0,1,0.0,0,6,10,10,10,10,10,10,3,10,10,10
75214,88292,1.0,0,1.0,3,5,10,7,6,6,5,10,3,7,9,5
75218,88296,3.0,1,1.0,3,9,4,9,3,10,9,7,10,4,8,8
75220,88300,5.0,1,0.0,0,9,10,10,7,8,8,10,5,9,10,4
75231,88311,2.0,0,3.0,1,7,7,10,8,9,9,9,6,8,9,8
75244,88329,1.0,0,0.0,0,6,4,9,4,9,8,8,4,7,2,3
75246,88331,2.0,0,2.0,1,6,8,10,5,6,4,9,7,4,9,9
75247,88332,5.0,1,3.0,1,7,8,9,8,8,8,9,8,9,3,10
75248,88333,2.0,0,3.0,1,7,10,10,8,9,9,10,3,6,10,10
75251,88338,1.0,1,1.0,3,7,8,8,8,7,7,7,5,8,6,8
75254,88341,4.0,0,1.0,3,8,7,8,7,4,5,8,10,6,2,2
75257,88344,1.0,0,1.0,3,8,7,10,8,7,7,9,8,9,9,2
75269,88361,5.0,1,2.0,1,6,4,5,4,4,3,4,8,6,4,6
75271,88363,4.0,1,3.0,1,10,8,6,10,8,9,8,9,7,4,2
75276,88370,2.0,1,2.0,1,5,3,9,3,6,4,7,9,3,4,8
75284,88380,2.0,1,1.0,3,8,6,6,6,5,5,5,9,7,4,7
75287,88383,2.0,1,6.0,0,9,3,2,3,2,1,1,1,1,1,3
75291,88388,2.0,0,4.0,3,7,7,2,8,2,5,5,10,3,6,6
75293,88391,2.0,1,5.0,3,10,3,8,5,7,5,5,9,5,9,5
75323,88427,2.0,1,6.0,0,10,1,1,1,2,1,1,1,1,1,1
75331,88435,4.0,1,2.0,1,8,10,9,10,10,10,10,4,10,7,10
75334,88439,5.0,0,3.0,1,6,2,7,1,4,3,4,9,3,7,5
75358,88471,4.0,1,1.0,3,10,7,7,10,10,10,7,9,6,7,1
75359,88472,6.0,0,1.0,3,10,7,7,9,10,10,6,10,5,6,8
75363,88476,2.0,0,1.0,3,7,3,5,6,4,4,3,10,4,9,4
75371,88487,4.0,1,0.0,0,9,10,8,10,7,10,10,3,10,6,10
75387,88503,5.0,0,11.0,1,8,5,7,3,3,2,4,10,3,5,6
75398,88516,1.0,0,5.0,3,7,7,6,7,4,5,6,4,5,3,8
75405,88523,5.0,1,3.0,1,8,1,1,2,2,1,1,1,1,1,1
75409,88528,4.0,0,1.0,3,6,7,8,8,9,9,8,6,7,9,4
75419,88539,3.0,0,3.0,1,7,6,6,7,4,4,5,8,5,4,7
75425,88545,5.0,0,5.0,3,10,9,8,10,6,9,9,8,4,4,9
75430,88550,2.0,1,7.0,1,6,9,6,7,5,5,8,4,8,9,8
75435,88555,2.0,1,1.0,3,7,9,6,9,4,7,8,6,5,5,9
75442,88564,3.0,0,3.0,1,6,9,6,7,8,8,8,6,5,8,9
75444,88566,2.0,0,7.0,1,8,6,2,8,1,5,3,7,6,8,2
75453,88577,4.0,0,1.0,3,10,8,2,10,1,8,6,9,8,5,7
75458,88582,3.0,1,6.0,0,6,5,4,8,10,9,4,9,5,5,6
75474,88598,3.0,1,3.0,1,8,7,10,8,8,8,9,6,6,7,10
75485,88611,4.0,0,1.0,3,7,6,2,6,2,4,3,7,7,7,5
75490,88617,4.0,0,1.0,3,7,6,7,4,8,7,6,5,5,5,8
75491,88618,5.0,1,3.0,1,7,9,4,8,3,5,8,7,5,5,9
75501,88631,3.0,0,3.0,1,9,6,7,9,9,10,6,10,8,8,7
75502,88632,1.0,1,6.0,0,8,8,6,9,5,7,6,8,10,5,8
75505,88635,2.0,0,7.0,1,8,4,10,4,9,7,9,6,10,9,5
75520,88654,6.0,1,3.0,1,9,8,10,9,8,9,10,7,9,8,10
75535,88673,4.0,1,0.0,0,10,10,10,10,10,10,10,9,10,6,3
75549,88690,3.0,1,1.0,3,7,4,9,4,5,4,6,8,6,9,2
75551,88692,3.0,1,1.0,3,8,9,6,10,5,8,8,8,9,2,3
75564,88708,4.0,1,1.0,3,7,1,1,1,2,1,1,1,1,1,1
75569,88715,2.0,1,1.0,3,5,9,4,7,8,7,7,7,5,5,8
75583,88731,4.0,1,0.0,0,7,9,9,10,9,9,9,6,9,10,9
75599,88753,2.0,0,5.0,3,7,1,1,2,1,2,1,1,1,1,1
75614,88771,3.0,0,2.0,1,6,10,10,3,8,7,10,4,10,3,10
75616,88774,5.0,1,3.0,1,5,1,1,2,2,1,1,1,1,1,1
75631,88791,5.0,1,2.0,1,9,10,8,10,7,8,10,8,9,1,3
75633,88793,2.0,1,7.0,1,1,1,1,2,3,1,1,1,1,1,1
75640,88801,1.0,0,2.0,1,5,6,9,8,6,6,8,4,9,10,9
75643,88806,1.0,0,2.0,1,10,7,9,9,9,9,8,8,9,8,9
75645,88808,2.0,1,1.0,3,6,10,7,9,8,8,9,4,9,8,10
75646,88809,3.0,1,0.0,0,9,7,10,10,9,10,10,8,10,10,5
75661,88826,3.0,0,3.0,1,4,9,5,7,4,5,7,6,5,1,3
75679,88849,6.0,1,5.0,3,6,10,9,8,7,7,10,6,10,10,9
75687,88858,3.0,1,10.0,3,5,3,5,3,5,3,3,7,7,4,3
75689,88861,3.0,0,2.0,1,8,7,9,8,9,9,8,3,9,10,9
75703,88876,1.0,1,6.0,0,9,3,7,3,7,5,3,10,3,4,6
75708,88882,1.0,1,1.0,3,8,7,10,8,6,7,10,7,7,6,10
75710,88884,3.0,1,8.0,0,5,2,5,2,7,6,2,8,6,4,4
75716,88890,5.0,0,11.0,1,7,8,6,9,6,7,7,5,7,4,8
75725,88900,4.0,1,1.0,3,7,9,9,8,8,8,9,4,10,6,9
75726,88901,5.0,1,2.0,1,10,7,2,7,3,5,4,10,5,8,2
75732,88908,4.0,1,1.0,3,8,3,2,4,3,2,3,10,3,8,4
75749,88931,1.0,1,3.0,1,4,7,6,5,3,3,7,8,5,8,8
75756,88938,2.0,1,7.0,1,9,9,10,10,10,10,10,9,10,10,5
75761,88943,2.0,1,7.0,1,10,10,10,10,7,9,10,3,10,8,10
75762,88944,4.0,0,3.0,1,10,7,6,7,8,8,6,10,6,8,8
75769,88954,5.0,1,5.0,3,3,3,4,3,5,3,3,8,9,5,5
75775,88960,4.0,0,1.0,3,5,9,4,8,8,8,7,3,7,7,9
75779,88965,1.0,0,5.0,3,8,9,8,7,7,6,9,6,9,9,9
75786,88974,4.0,1,2.0,1,8,7,7,10,4,9,6,9,5,9,6
75822,89016,4.0,0,3.0,1,9,1,8,1,10,9,4,6,10,9,4
75826,89020,4.0,1,1.0,3,4,6,4,5,5,4,6,7,6,4,7
75827,89021,2.0,0,3.0,1,8,4,1,3,3,2,3,10,3,4,4
75834,89031,3.0,0,1.0,3,6,7,5,9,5,7,5,3,10,3,1
75844,89042,6.0,0,5.0,3,10,5,8,7,7,6,7,9,5,9,6
75845,89043,4.0,0,1.0,3,7,10,9,10,7,10,10,2,10,8,10
75846,89044,3.0,0,6.0,0,10,6,9,7,9,8,8,9,6,7,9
75850,89048,4.0,0,5.0,3,10,4,2,4,1,2,2,10,3,5,4
75855,89054,1.0,0,1.0,3,8,5,2,4,2,3,2,10,3,5,2
75861,89060,2.0,0,1.0,3,6,9,10,8,10,9,10,6,9,7,10
75863,89062,1.0,1,3.0,1,8,6,7,8,5,6,5,8,7,5,3
75864,89064,3.0,1,2.0,1,10,2,9,1,6,4,5,10,2,9,6
75873,89074,2.0,1,7.0,1,5,10,9,9,6,7,10,3,8,10,4
75875,89078,3.0,1,5.0,3,9,4,7,4,5,4,4,10,3,7,6
75877,89080,1.0,1,3.0,1,8,8,10,9,10,10,10,6,10,8,10
75895,89101,4.0,1,1.0,3,5,5,7,5,5,4,5,4,5,4,1
75899,89106,4.0,1,1.0,3,5,10,8,10,7,10,9,2,10,10,4
75908,89115,4.0,1,1.0,3,5,7,6,10,6,8,7,5,7,9,2
75917,89124,2.0,1,3.0,1,10,2,7,3,8,6,4,7,8,4,3
75924,89133,5.0,1,1.0,3,9,7,5,8,4,6,6,8,6,3,2
75926,89135,2.0,1,5.0,3,6,9,4,6,4,4,7,5,8,2,3
75928,89137,4.0,1,7.0,1,7,10,4,9,7,8,10,5,10,3,4
75931,89141,2.0,1,3.0,1,10,5,9,6,9,9,7,8,10,8,9
75933,89145,0.0,0,1.0,3,9,3,2,4,3,3,3,10,3,7,2
75952,89171,2.0,1,3.0,1,6,10,5,8,4,5,8,7,8,7,9
75958,89177,2.0,1,3.0,1,8,2,9,2,9,9,6,8,9,8,2
75960,89183,1.0,0,1.0,3,8,10,7,10,8,9,10,6,10,10,5
75965,89191,3.0,0,1.0,3,10,5,3,6,3,4,4,10,4,1,3
75981,89207,3.0,0,2.0,1,8,5,9,7,8,7,8,3,7,10,6
75983,89210,3.0,0,1.0,3,10,9,9,10,10,10,9,9,6,7,10
75999,89228,6.0,0,5.0,3,9,6,8,8,8,8,8,10,4,9,8
76009,89240,2.0,1,3.0,1,8,6,10,9,9,9,10,6,6,9,4
76018,89249,1.0,1,0.0,0,6,10,9,8,10,9,10,6,10,10,7
76032,89265,4.0,1,0.0,0,2,5,2,3,2,2,2,4,4,6,4
76055,89293,5.0,1,0.0,0,9,6,7,7,9,9,5,10,3,8,7
76063,89301,2.0,1,2.0,1,10,9,6,9,6,7,7,10,7,5,9
76066,89306,3.0,1,2.0,1,8,4,7,4,7,5,5,8,10,4,7
76069,89310,2.0,1,6.0,0,8,4,8,5,10,9,5,7,8,10,2
76075,89316,3.0,1,1.0,3,6,10,10,8,9,8,10,6,9,5,10
76076,89317,4.0,0,1.0,3,9,6,7,7,8,7,5,9,3,4,2
76081,89323,4.0,0,11.0,1,8,9,10,10,10,10,10,2,10,7,10
76087,89329,5.0,0,1.0,3,9,9,10,10,7,10,10,6,10,1,2
76094,89338,4.0,1,1.0,3,7,4,4,3,5,4,4,7,6,7,6
76098,89342,4.0,1,0.0,0,10,5,4,4,6,5,3,10,3,3,2
76101,89345,4.0,0,5.0,3,6,10,7,9,7,8,9,4,9,7,10
76106,89353,2.0,1,3.0,1,7,10,6,8,7,7,9,7,8,6,10
76119,89370,5.0,1,1.0,3,10,8,1,10,1,8,6,10,6,5,7
76130,89381,2.0,0,3.0,1,6,8,6,7,7,7,6,7,7,10,4
76131,89382,3.0,0,1.0,3,6,8,9,9,7,8,9,5,9,9,8
76139,89391,2.0,0,1.0,3,5,7,7,7,6,6,7,5,10,9,5
76141,89393,6.0,1,1.0,3,6,1,3,2,1,2,2,1,2,1,1
76146,89399,4.0,0,1.0,3,6,7,5,8,5,6,5,6,9,6,7
76165,89424,1.0,1,1.0,3,10,2,8,3,6,4,4,10,6,9,5
76171,89430,3.0,0,5.0,3,5,6,9,3,4,3,7,7,6,5,9
76180,89439,2.0,0,3.0,1,8,9,10,7,7,6,10,3,6,8,10
76189,89449,3.0,1,1.0,3,9,1,1,3,3,2,1,2,1,1,1
76191,89451,2.0,1,7.0,1,3,1,1,2,1,1,1,1,1,1,1
76198,89458,5.0,1,1.0,3,6,3,5,4,6,5,4,10,3,6,5
76217,89482,2.0,1,1.0,3,6,4,4,4,4,3,3,9,3,7,5
76218,89484,1.0,0,1.0,3,10,10,8,10,5,9,10,8,10,4,10
76229,89497,5.0,1,0.0,0,10,4,5,6,8,8,3,10,3,8,5
76239,89507,3.0,0,7.0,1,9,5,4,6,7,6,3,10,4,8,5
76244,89512,2.0,0,4.0,3,10,6,4,7,5,6,5,10,4,6,7
76254,89525,5.0,1,1.0,3,7,1,1,2,2,2,1,1,1,1,1
76258,89529,3.0,1,1.0,3,6,6,6,5,6,5,6,9,4,9,7
76275,89551,2.0,0,6.0,0,7,3,1,4,2,3,2,10,3,3,4
76285,89562,5.0,1,3.0,1,10,9,6,10,5,8,8,8,8,4,8
76301,89578,4.0,1,3.0,1,9,4,10,3,5,4,8,7,10,9,7
76302,89579,5.0,1,0.0,0,10,10,6,9,5,7,8,9,8,7,9
76333,89620,4.0,1,5.0,3,9,4,2,5,3,3,3,10,3,6,4
76342,89633,0.0,0,5.0,3,6,1,7,2,5,3,4,9,2,4,5
76344,89635,3.0,1,5.0,3,10,6,2,6,3,4,3,10,4,4,2
76370,89665,2.0,1,1.0,3,8,10,4,10,9,10,8,8,9,3,2
76375,89670,3.0,0,2.0,1,7,4,8,6,7,7,6,10,4,10,5
76386,89682,3.0,1,7.0,1,10,10,3,9,1,7,8,9,9,3,3
76389,89686,4.0,1,3.0,1,8,7,8,10,8,9,7,7,6,6,8
76392,89691,4.0,1,1.0,3,8,9,2,9,2,6,5,3,6,7,2
76394,89693,4.0,1,0.0,0,8,8,6,8,4,6,8,8,7,5,9
76405,89708,5.0,1,1.0,3,5,5,5,3,3,2,5,8,5,10,5
76413,89720,2.0,0,3.0,1,5,9,10,8,10,10,10,8,9,9,10
76415,89723,2.0,1,6.0,0,9,7,8,7,10,10,8,10,9,10,7
76428,89738,3.0,1,3.0,1,6,10,9,9,10,10,10,2,9,7,10
76431,89742,3.0,0,1.0,3,9,9,4,9,8,8,7,9,10,7,9
76434,89745,6.0,0,5.0,3,10,5,5,6,4,4,5,10,3,5,6
76444,89759,6.0,1,1.0,3,8,7,2,3,2,2,4,8,7,5,3
76446,89761,5.0,1,0.0,0,10,10,7,10,10,10,10,6,10,9,10
76448,89765,1.0,1,3.0,1,5,9,4,8,3,5,6,6,5,5,8
76452,89770,5.0,0,3.0,1,6,10,6,5,4,3,9,6,7,8,9
76462,89782,1.0,1,0.0,0,6,8,5,6,4,3,6,9,6,9,7
76467,89788,3.0,0,5.0,3,9,9,4,10,5,9,8,5,7,8,4
76468,89789,2.0,1,3.0,1,5,9,2,7,2,4,7,6,6,4,8
76474,89796,0.0,1,0.0,0,5,10,7,7,6,5,10,4,10,5,10
76478,89800,2.0,1,5.0,3,8,3,6,1,7,5,3,10,2,8,5
76493,89819,3.0,1,6.0,0,7,1,1,1,2,1,1,2,1,1,1
76498,89825,3.0,1,2.0,1,9,9,9,10,9,10,10,6,10,3,10
76501,89828,4.0,1,15.0,0,7,6,10,8,10,10,10,4,10,5,10
76503,89830,1.0,0,1.0,3,5,9,6,7,8,7,8,4,9,9,9
76514,89844,4.0,0,1.0,3,10,10,10,10,10,10,10,5,10,9,10
76517,89847,1.0,1,1.0,3,7,8,4,7,3,4,6,4,8,3,8
76521,89852,5.0,1,2.0,1,9,8,7,6,4,4,7,9,6,3,8
76530,89862,2.0,1,3.0,1,5,7,9,7,7,7,9,4,8,8,10
76540,89872,2.0,1,2.0,1,8,9,5,10,6,8,8,9,9,3,8
76544,89877,6.0,1,2.0,1,6,10,4,8,6,7,8,4,6,2,3
76545,89878,3.0,0,1.0,3,6,10,5,10,6,8,8,4,6,6,9
76546,89879,4.0,0,1.0,3,9,7,7,7,4,5,7,10,8,7,9
76552,89887,2.0,0,6.0,0,8,6,5,7,6,6,4,5,8,2,1
76561,89899,5.0,0,1.0,3,5,4,10,4,6,5,8,9,3,4,9
76563,89901,0.0,0,5.0,3,7,10,8,9,4,7,9,9,10,5,7
76586,89927,3.0,0,3.0,1,6,9,8,7,6,6,9,6,6,5,10
76593,89936,3.0,0,3.0,1,6,10,10,7,10,9,10,3,7,5,10
76598,89941,1.0,0,1.0,3,8,9,9,10,8,9,10,6,9,7,10
76615,89965,6.0,0,1.0,3,7,7,6,8,7,7,6,7,5,6,8
76627,89977,0.0,0,1.0,3,5,9,6,7,7,7,8,8,8,10,8
76628,89978,2.0,1,3.0,1,6,7,9,8,10,10,9,3,9,4,10
76645,89999,4.0,0,5.0,3,9,6,4,7,5,5,5,10,3,1,3
76653,90009,3.0,1,3.0,1,3,8,5,8,5,6,6,6,8,3,8
76654,90010,2.0,0,1.0,3,9,10,6,10,10,10,10,10,10,10,5
76656,90012,2.0,0,3.0,1,8,5,6,6,7,6,5,3,10,3,7
76663,90021,1.0,1,3.0,1,10,7,6,9,6,7,6,9,5,8,2
76667,90027,2.0,0,1.0,3,6,7,6,8,4,6,6,4,3,4,4
76681,90045,1.0,0,5.0,3,10,5,4,5,4,3,5,10,7,10,5
76685,90049,3.0,1,3.0,1,5,10,7,9,8,8,9,6,9,7,10
76687,90051,6.0,1,5.0,3,10,9,9,10,7,8,10,5,7,6,10
76697,90065,5.0,0,3.0,1,9,8,10,5,6,5,9,9,5,5,10
76709,90078,3.0,1,0.0,0,6,10,8,8,9,9,10,5,10,7,10
76719,90091,2.0,1,3.0,1,5,1,1,3,2,2,1,2,1,1,1
76725,90098,3.0,1,7.0,1,7,8,3,9,1,6,4,7,9,10,4
76726,90099,0.0,1,6.0,0,6,6,3,3,4,2,4,8,4,9,5
76732,90105,2.0,0,1.0,3,10,7,8,9,5,7,8,10,5,7,1
76733,90106,4.0,1,5.0,3,9,8,1,8,3,5,4,9,6,1,2
76747,90122,3.0,1,6.0,0,10,8,6,10,5,9,7,6,9,10,4
76760,90136,4.0,0,1.0,3,6,7,10,7,9,9,9,2,7,10,7
76776,90155,2.0,1,3.0,1,7,4,1,3,1,2,2,9,3,7,4
76777,90156,4.0,0,5.0,3,7,1,8,1,5,3,4,10,2,5,6
76778,90158,2.0,1,0.0,0,10,7,1,5,1,3,5,10,5,7,1
76781,90161,3.0,0,3.0,1,7,5,9,7,8,8,7,9,5,5,8
76783,90163,4.0,0,1.0,3,8,7,6,8,7,8,7,5,7,6,8
76784,90164,5.0,0,5.0,3,9,6,7,6,6,5,5,10,4,7,7
76790,90176,0.0,1,6.0,0,5,9,10,6,9,8,10,7,9,10,8
76791,90177,4.0,1,6.0,0,7,1,1,2,1,1,2,2,1,2,3
76797,90184,5.0,1,6.0,0,8,3,4,4,4,3,4,10,3,5,5
76800,90188,1.0,1,5.0,3,6,4,10,4,9,7,9,5,9,6,10
76802,90190,0.0,0,5.0,3,9,9,3,10,3,8,8,6,8,7,9
76806,90194,1.0,1,3.0,1,8,4,9,4,10,10,6,7,9,9,3
76826,90216,2.0,0,4.0,3,6,4,5,5,8,7,4,9,3,5,6
76833,90224,2.0,0,1.0,3,7,9,3,8,3,5,7,8,9,4,8
76835,90226,2.0,1,3.0,1,5,10,7,9,10,10,9,4,6,4,10
76844,90238,3.0,0,3.0,1,5,9,2,7,3,5,5,7,7,3,7
76849,90243,0.0,1,6.0,0,5,6,2,6,2,3,4,10,5,8,5
76850,90244,6.0,0,5.0,3,7,5,10,6,8,7,9,6,5,9,9
76860,90256,1.0,1,6.0,0,6,3,9,4,7,5,7,5,10,10,2
76861,90257,2.0,0,0.0,0,10,5,5,3,4,3,4,10,3,9,4
76863,90259,1.0,0,3.0,1,10,9,9,8,10,10,9,8,7,10,5
76891,90292,4.0,1,0.0,0,3,10,10,10,8,9,10,6,10,10,3
76899,90303,1.0,1,6.0,0,8,8,9,8,9,9,9,9,6,4,9
76910,90315,1.0,0,5.0,3,7,5,6,4,4,3,5,10,3,8,7
76921,90328,5.0,1,7.0,1,9,7,8,8,4,5,8,6,8,8,7
76932,90339,4.0,0,3.0,1,6,8,7,3,7,5,6,5,10,8,8
76954,90362,5.0,1,5.0,3,6,8,4,6,5,4,5,9,3,3,7
76955,90363,2.0,0,1.0,3,8,2,10,3,9,8,10,8,7,5,10
76959,90368,1.0,1,6.0,0,10,8,8,9,6,8,8,9,8,9,5
76960,90369,3.0,0,5.0,3,5,9,5,7,6,6,8,3,7,4,8
