,ID,age_band,gender,car_model,car_segment,age_of_vehicle_years,sched_serv_warr,non_sched_serv_warr,sched_serv_paid,non_sched_serv_paid,total_paid_services,total_services,mth_since_last_serv,annualised_mileage,num_dealers_visited,num_serv_dealer_purchased
35690,41905,1.0,1,3.0,1,5,9,10,10,9,10,10,4,10,3,10
35692,41907,2.0,1,3.0,1,9,7,6,10,8,9,7,8,10,10,4
35705,41922,1.0,1,1.0,3,8,10,5,10,4,8,8,4,10,5,7
35706,41923,2.0,1,2.0,1,10,5,9,6,10,9,8,5,6,4,8
35707,41924,3.0,1,1.0,3,7,8,7,9,7,8,8,9,8,8,9
35725,41944,3.0,0,1.0,3,8,6,8,7,6,6,6,9,6,3,8
35727,41946,5.0,0,2.0,1,8,7,5,8,6,7,6,8,4,10,6
35733,41952,5.0,0,1.0,3,8,7,7,9,7,8,8,4,7,9,7
35746,41966,2.0,0,3.0,1,10,8,10,9,10,10,10,9,5,10,4
35747,41967,3.0,1,5.0,3,10,7,4,8,4,5,6,10,5,9,4
35749,41969,2.0,0,1.0,3,9,7,8,9,6,7,8,10,3,6,9
35755,41977,1.0,1,6.0,0,10,2,7,1,5,3,3,10,3,7,5
35764,41989,2.0,1,1.0,3,7,1,1,2,2,1,1,2,1,1,1
35771,41997,1.0,1,1.0,3,9,9,3,10,4,8,8,9,4,5,9
35779,42009,3.0,1,3.0,1,8,7,7,8,6,6,6,8,7,9,6
35800,42036,3.0,0,1.0,3,8,3,4,4,5,4,3,10,3,5,5
35811,42050,3.0,1,1.0,3,5,10,8,9,7,8,10,6,10,7,10
35825,42065,3.0,0,3.0,1,6,4,7,7,7,7,6,8,8,9,5
35826,42066,1.0,0,1.0,3,10,10,10,10,9,10,10,3,10,9,4
35831,42076,6.0,1,2.0,1,6,10,8,9,6,7,10,3,6,3,10
35839,42085,2.0,0,1.0,3,7,8,4,8,4,5,7,7,5,4,8
35841,42088,1.0,0,1.0,3,9,2,1,2,3,2,1,1,2,2,2
35842,42089,4.0,1,2.0,1,8,8,8,9,6,7,8,8,8,3,2
35845,42093,4.0,1,1.0,3,9,10,4,10,3,9,8,7,7,4,9
35846,42095,3.0,0,1.0,3,9,8,10,9,10,10,10,7,8,10,10
35849,42098,5.0,0,1.0,3,3,1,1,1,2,2,1,1,1,1,1
35853,42102,1.0,1,6.0,0,10,5,10,6,8,7,9,8,6,4,2
35856,42105,3.0,1,1.0,3,8,8,4,10,4,8,6,5,8,8,8
35857,42106,3.0,0,1.0,3,7,4,3,3,3,2,3,9,3,3,4
35859,42108,1.0,1,1.0,3,8,3,6,6,5,4,4,9,6,3,2
35863,42113,1.0,1,6.0,0,10,9,10,10,10,10,10,5,8,8,10
35869,42119,1.0,1,6.0,0,8,8,8,9,10,10,8,8,8,3,9
35871,42121,3.0,0,7.0,1,9,10,4,10,7,9,7,5,4,9,6
35873,42123,3.0,1,2.0,1,10,9,8,10,7,8,9,5,9,3,10
35877,42128,6.0,0,5.0,3,7,10,5,9,7,8,7,7,3,3,9
35878,42129,2.0,0,3.0,1,9,8,2,9,2,6,5,7,6,3,7
35888,42140,5.0,1,0.0,0,6,10,10,8,10,10,10,4,6,5,10
35897,42150,4.0,0,3.0,1,10,5,5,4,3,2,3,10,3,6,6
35899,42155,3.0,1,3.0,1,9,9,9,9,6,8,10,8,8,8,10
35907,42163,6.0,1,1.0,3,8,7,10,8,8,8,9,7,7,7,10
35912,42168,5.0,1,1.0,3,8,6,8,8,6,6,7,8,4,6,9
35920,42176,4.0,1,2.0,1,10,6,8,5,7,6,6,10,4,6,8
35921,42178,4.0,0,3.0,1,6,9,4,8,5,6,7,7,6,7,8
35933,42190,6.0,0,5.0,3,6,7,4,8,3,5,5,3,3,8,7
35942,42200,2.0,1,3.0,1,8,8,10,5,8,6,10,2,8,9,10
35954,42215,3.0,0,5.0,3,8,7,6,5,5,4,6,3,8,7,8
35977,42241,1.0,1,0.0,0,10,4,6,4,5,3,4,10,3,5,6
35980,42244,1.0,1,2.0,1,7,6,4,6,5,5,5,8,5,4,7
35982,42246,0.0,1,8.0,0,9,8,4,8,10,9,6,10,6,5,8
36004,42273,2.0,1,2.0,1,1,1,3,3,2,2,2,2,1,2,3
36008,42277,4.0,0,0.0,0,10,10,9,10,9,9,10,3,9,7,10
36032,42303,3.0,1,2.0,1,10,10,7,10,6,9,9,5,10,9,9
36034,42305,5.0,1,3.0,1,10,6,10,9,7,8,9,9,7,1,1
36035,42306,1.0,0,7.0,1,10,7,6,9,6,7,6,10,6,10,6
36047,42321,1.0,1,2.0,1,5,7,1,5,1,3,4,9,4,8,6
36051,42325,3.0,0,1.0,3,7,7,1,10,3,8,4,3,8,5,6
36058,42333,5.0,1,4.0,3,8,1,5,2,4,3,2,10,2,3,4
36062,42337,0.0,0,1.0,3,6,5,1,3,3,2,3,8,5,3,5
36065,42341,2.0,1,7.0,1,9,7,10,10,10,10,10,3,8,7,10
36072,42348,2.0,0,3.0,1,8,6,9,6,7,6,8,7,8,8,9
36074,42350,5.0,1,7.0,1,5,5,9,5,9,8,7,5,10,10,5
36076,42354,4.0,1,3.0,1,7,10,8,9,8,9,10,5,10,5,10
36088,42367,4.0,1,3.0,1,10,9,10,10,10,10,10,5,10,3,10
36098,42378,1.0,1,1.0,3,5,10,9,8,7,7,10,4,7,5,8
36103,42384,1.0,1,6.0,0,9,7,4,9,4,6,5,9,7,9,6
36111,42394,1.0,1,0.0,0,5,1,1,2,3,1,1,1,1,1,1
36112,42395,2.0,0,3.0,1,10,10,3,10,4,9,8,3,9,9,8
36121,42405,3.0,1,5.0,3,6,4,7,4,7,5,5,7,7,6,7
36139,42430,3.0,1,6.0,0,5,9,8,8,5,6,9,9,3,4,10
36153,42446,2.0,1,2.0,1,10,9,9,9,4,7,9,9,10,4,9
36155,42448,3.0,0,5.0,3,10,1,5,2,4,2,2,10,2,8,4
36163,42457,4.0,1,6.0,0,6,10,6,7,4,4,10,6,10,10,9
36173,42471,1.0,1,0.0,0,6,5,5,7,7,7,4,9,6,3,6
36189,42490,4.0,1,11.0,1,9,10,10,10,9,10,10,4,10,9,10
